Permit_Number,Owner_Name,Operating_Name,Street,City,Prem_Zip,Prem_County,New_Permit_Flag
AK-W-15001,ALASKA MEADS LLC,RING OF FIRE MEADERY,178 E BUNNELL AVE,HOMER,99603,KENAI PENINSULA,0
AK-W-21001,ALASKA BERRIES LLC,,48660 W POPPY LN,SOLDOTNA,99669,,0
AK-W-21004,"DOUBLE SHOVEL CIDER COMPANY, LLC",,502 W 58TH AVE UNIT C AND D,ANCHORAGE,99518,,0
AK-W-21005,BELL'S VINEYARD AND WINERY LLC,,11900 INDUSTRY WAY UNIT M-7,ANCHORAGE,99515,ANCHORAGE,0
AK-W-21007,"TWO SEASONS MEAD, LLC",Two Seasons Meadery,801 E 82ND AVE UNIT D-3,ANCHORAGE,99518,,0
AK-W-21008,KING STREET BREWING LLC,King Street Brewing Company,9050 KING ST,ANCHORAGE,99515,,0
AK-W-21009,ALASKA PACIFC BEVERAGE COMPANY LLC,49th State Brewing,721 W DEPOT DRIVE STE 49,ANCHORAGE,99501,,0
AK-W-21010,DEVIL'S CLUB BREWING LLC,,100 N FRANKLIN ST,JUNEAU,99810,,0
AK-W-21011,"BLACK SPRUCE BREWING COMPANY, LLC",Black Spruce Fruit Project,3290 PEGER RD STE B,FAIRBANKS,99709,,0
AK-W-21012,BEARD BROTHER'S MEADERY LLC,,1223 SKYLINE DR,FAIRBANKS,99712,,0
AK-W-21013,"OLD BEAR HONEY, LLC",Old Bear Honey,35089 W GLENN HWY,SUTTON,99674,MATANUSKA-SUSITNA,0
AK-W-21014,"LATITUDE 65 BREWING COMPANY, LLC",Lat 65 Ciderhouse,150 EAGLE AVE,FAIRBANKS,99701,FNSB,0
AK-W-21015,"ODIN, INC.",Odin Mead,3585 EAST END RD UNIT 2,HOMER,99603,KENAI PENINSULA BOROUGH,0
AK-W-21016,BEARD BROTHERS HANDIWORKS LLC,Three Northmen,102 MAIN ST,HAINES,99827,,0
AK-W-21017,"SWEETGALE WINES, LLC",Sweetgale Wines,3657 MAIN ST,HOMER,99603,KENAI PENINSULA BOROUGH,0
AK-W-21019,HIVE MIND MEADERY LLC,Hive Mind Meadery LLC,600 W 58TH AVE STE A,ANCHORAGE,99515,,0
AK-W-21020,"RAVENS RING, LLC",Ravens Ring Brewing Company,12150 INDUSTRY WAY UNIT Q-1,ANCHORAGE,99515,,0
AK-W-21021,"TWISTER CREEK, INC.",Alaska Ciderworks and Meadery,37083 S TALKEETNA SPUR RD,TALKEETNA,99676,MATANUSKA SUSITNA,0
AK-W-21022,"DOUBLE SHOVEL CIDER COMPANY, LLC",Double Shovel Cider Kodiak,101 CENTER AVE,KODIAK,99615,,0
AK-W-21023,CSMASM LLC,61 Degrees North Winery,5001 ARCTIC BLVD STE 102,ANCHORAGE,99503,,0
AK-W-21024,ZIP KOMBUCHA LLC,Zip Kombucha,8161 SCHOON ST,ANCHORAGE,99518,,0
AK-W-21025,SWIFTWATER WINE LLC,Swiftwater Wine,5766 N SOLITUDE ST,WASILLA,99623,,0
AK-W-21026,ALASKA LEGENDS LLC,Alaska legends,319 DOCK ST,KETCHIKAN,99901,,0
AK-W-21027,HARBOR MOUNTAIN BREWING COMPANY LLC,Harbor Mountain Brewing Company,1209 SAWMILL CREEK RD UNIT A,SITKA,99835,,0
AK-W-21028,"THE RUSTIC PEONY, LLC",Swamp Donkey Beverage Company,15705 BRODY RD,NINILCHIK,99639,,0
AK-W-21029,"ALASKA MEADS, LLC",Arctic Buzz Meadery,44109 STERLING HWY STE C,SOLDOTNA,99669,,0
AK-W-21030,"FRIENDS BY THE OCEAN, LLC",Friends by the Ocean,38057 CHINIAK HWY,KODIAK,99615,,0
AK-W-21031,"ONSITE BREWING COMPANY, LLC",Cirque Cider Company,3211 DENALI ST,ANCHORAGE,99503,MUNICIPALITY OF ANCHORAGE,0
AK-W-21032,TRITON LLC,Alaska Legends,7691 N TONGASS HWY STE 100,KETCHIKAN,99901,,1
AK-W-273,"BEAR CREEK WINERY, LLC",,60203 BEAR CREEK DR,HOMER,99603,KENAI PENINSULA,0
AL-W-11,"PERDIDO VINEYARDS OF GEORGIA, INC.",,22100 COUNTY RD,PERDIDO,36562,BALDWIN,0
